行,科室,关键词,问题,病情分析/意见,相关问题1,相关问题2,相关问题3,相关问题4,相关问题5,相关问题6,
3150,妇产科,妇科炎症,阴道炎咋治疗,滴虫性阴道炎注意：夫妇双方同时接受治疗，治疗期间禁性生活内裤毛巾煮沸消毒，服药期间忌酒，可以服用灭滴灵和灭滴灵泡腾片阴道上药，每次月经净后复查白带，连续3次检查滴虫均为阴性，方为治愈。。,滴虫阴道炎咋么治疗！，，,滴痋\阴道炎咋9治疗,细菌阴道炎咋治疗,霉菌阴道炎咋治疗,霉菌阴道炎咋治疗用啥药好吃的,滴虫性阴道炎两年了咋治疗,
3151,内科,肿瘤科,治疗胃癌好办法,。晚期胃癌患者多处于全身衰竭状态，进食困难，食欲不振，应多吃鲜石榴、鲜乌梅、鲜山楂，也可用橘皮、花椒、生姜、冰糖、鸡肫适量，煎汤内服。呈现恶病质状态的病人应该多补给蛋白质食品，如牛奶、鸡蛋、鹅肉、鹅血、瘦猪肉、牛肉和新鲜蔬菜、水果等，糯米粥要求煮烂。,治疗残胃癌的最好办法是什么,晚期胃癌有甚好办法治疗？,胃癌中晚期能治好吗？有什么好办法治疗？,想得到怎样的帮助：治疗残胃癌的最好办法是什么,胃癌晚期 能治疗吗？能存活几年？有什么好办法治疗？,胃癌晚期黑便腹水。有好办法治疗,
3152,精神科,精神科综合,癔症预防方法,"你好,抑郁症的治疗方法很多,如心理治疗,睡眠剥夺治疗,光疗和电痉挛治疗等,但当代仍以药物治疗为主,心理治疗为辅.抗抑郁药是众多精神药物的一个大类,主要用于治疗抑郁症和各种抑郁状态.第一代经典抗抑郁药：包括单胺氧化酶抑制剂和三环类抗抑郁药.有条件的话去看看心理医生吧.",癔症是什么疾病？怎么预防？,癔症采用什么方法治疗,癔症精神障碍治疗方法,癔症严重会导致什么后果?有什么治疗方法?,癔症最好的治疗方法是什么呀？,发癔症的治疗方法可以服用抑郁药吗,
3153,妇产科,宫颈糜烂,咋样治宫颈糜烂,。你好，对于2度的宫颈糜烂，目前可以采取微波治疗的，必要时可以行利普刀治疗的，在治疗期间，不可以性生活的，以免加重病情。,宫颈糜烂 吃槟郎  会咋样,宫颈糜烂！咋样才好的快,咋样分别炎诊和宫颈糜烂,宫颈糜烂咋样治疗？吃啥药好,宫颈糜烂二度咋样治疗,宫颈糜烂不医治后果咋样，,
3154,内科,肿瘤科,甲状腺癌患者避免吃什么,"甲状腺癌患者可以多吃:甜杏仁、柿饼、芦笋、薏米、甲鱼、乌龟、核桃、香菇、蘑菇等能增强抗病能力,。：目前的描述要考虑属于日常保养等为主，还是很重要，继续保养休息为主，饮食均衡清淡营养，不适宜过度肥腻刺激",甲状腺癌患者吃什么能提高免疫力？,甲状腺癌患者能康复吗,甲状腺癌症能吃什么,甲状腺癌术后吃什么好,甲状腺癌症。吃什么食品,甲状腺癌患者,
3155,妇产科,宫颈疾病,宫颈息肉一般需要多少费用,你好，宫颈息肉手术费用在一千元左右，医院不同收费标准也是有一定差异的，可以先咨询一下，注意休息，增加营养,治疗宫颈息肉需要多少费用,治疗宫颈息肉需要多少费用。,做宫颈息肉手术要多少费用一般需要住院几天,宫颈息肉需要多少手术费用？,鼻息肉治疗一般需要多少费用？,眼息肉手术治疗费用一般需要多少,
3156,外科,泌尿外科,尿道炎的表现及治疗方法是哪些,你好，这个情况是可以积极的进行消炎治疗，一般是有尿频，尿痛的情况是，可以保持局部清洁，多喝水为好的。,女性尿道炎的临床表现及治疗方法,包头尿道炎治疗方法尿道炎有哪些症状表现呢,淮北治疗尿道炎检查医院？尿道炎有哪些表现？,非淋菌性尿道炎有哪些症状表现？芜湖治疗尿道炎医院？,阜阳都有哪些治疗尿道炎的医院？尿道炎都表现为什么症...,得了尿道炎会有哪些临床表现？滁州治疗尿道炎病检查？,
3157,外科,肛肠疾病,发现脱肛要怎样治疗,你好，是痔疮，建议你使用马应龙痔疮膏涂抹，切勿便秘，便时切勿努挣，忌久坐久蹲，同时口服龙血竭片，以敛阴润燥。,脱肛要怎么弄,哪里治疗脱肛最好,请问，这是属于脱肛吗？？要怎样,产后脱肛怎样护理,脱肛怎么治疗,脱肛怎么治疗？,
3158,外科,男科,有了龟头瘙痒怎么治比较好,龟头瘙痒考虑是龟头炎，局部用1：5000高锰酸钾液清洗，并保持干燥，在医生指导下服用抗生素类药物治疗。注意生殖器卫生，保持干燥，勤洗澡，勤换内裤。,龟头瘙痒怎么治？龟头瘙痒,我龟头瘙痒这个怎么治,龟头瘙痒怎么治疗,龟头瘙痒一般需要怎么治疗有效,你好，请问我龟头瘙痒怎么治疗,龟头瘙痒。有白色分泌物。怎么治,
3159,外科,结石科,尿道结石的病因有哪些,尿道结石的形成主要病因为钙磷代谢紊乱以及其他因素。摄入过多的高糖、高蛋白、高脂肪会促使结石的形成，经化学分析，大多数尿路结石都是含钙结石，其成分多为草酸和尿酸，正常时在尿内呈溶解状态，并不沉淀下来形成结石，而当摄人大量高糖，高蛋白、高脂肪后，就会在体内生成较多的草酸和尿酸，常吃富含草酸盐的菠菜也同样如此，可促使结石的形成。尿石症病人应根据热量的需要限制超额的营养，动物蛋白的摄入要适量，保持每日摄入蛋白的量为75-90克。控制精制食糖的摄入。忌食菠菜、酸菜、动物内脏等。,尿道结石病因详解？凤阳治疗尿道结石医院在线？,尿道结石会有哪些症状？？尿道结石会有哪些症状？。,对尿道结石主要诊断哪些方面？凤阳哪家治疗尿道结石医...,蚌埠哪家医院治疗尿道结石好？得了尿道结石有哪些误区...,淮北治疗尿道结石医院咨询？尿道结石有哪些因素引起的,得了尿道结石有哪些症状？凤阳治疗尿道结石医院好？,
3160,内科,内科其它,手脚爱出汗而且经常很凉，冬天尤甚，好像一,问题分析：出现有多汗的现象，这个情况一般要考虑阳虚导致的，特别是由于平时过多的吃一些生冷的食物，或者是因为房事太过频繁，都可能会出现这种现象指导建议：要注意休息，多锻炼身体，这个可以适当的通过服用金匮肾气丸 玉屏风颗粒等药物治疗。,"手脚经常出汗,而且一般冰冷,特别是冬天手脚很凉",手脚比较爱出汗而且脚很凉,冬季脚出汗，而且手脚很凉,冬天特别怕冷怕风而且手脚还很凉，而一到...,手脚很凉，爱出汗，有时阳痿,你好 请问手爱出汗是怎么回事？尤其是快到秋天的时候 冬天手脚也很凉，也不是很干爽,
3161,妇产科,不孕不育,多囊卵巢治疗有什么好方法,你好。多囊卵巢治疗比较麻烦。药物对抗雄激素一般要3-6个月的时间。当然可以进行手术穿刺卵泡。使雄激素水平下降可以考虑腹腔镜手术治疗。一定到正规的医院。在腹腔镜下。手术穿刺卵泡。使雄激素水平下降。从而达到治疗目的。,多囊卵巢有什么影响，好治疗么,治疗多囊卵巢综合症有什么好方法？,治疗多囊卵巢,多囊卵巢好治疗么,女性治疗多囊卵巢综合症都有什么好方法？,女性治疗多囊卵巢综合症有什么好方法？,
3162,皮肤科,痤疮,有痤疮咋治较好,这要彻底的清洁皮肤，外用芦荟胶抹抹抹，另外也是要注意不要吃有刺激性的食物为好的，有利于调理皮肤的情况的。,什么医院治痤疮比较好！,满脑门都是痤疮’咋治啊,痤疮咋治啊,哈尔滨去哪治痤疮比较好？哪里治疗痤疮好？,,,
3163,外科,肛肠疾病,患上慢性肠炎后怎样治疗,慢性慢性肠炎为常见胃部疾玻动脉硬化、胃血流量不足、烟酒茶的嗜好等都容易损害胃粘膜的屏障机能而引起慢性慢性肠炎。慢性肠炎时，胃粘膜萎缩而被肠的上皮细胞取代即肠化生]。[炎症继续演变，则细胞生长不典型，即间变；甚至细胞增生而致癌变。临床表现仅为上腹饱胀、嗳气、胃纳减退等消化不良症状，有时因胃内因子遭到破坏，维生素B12吸收不良可致贫血。内镜...,怎样治疗慢性肠炎,慢性肠炎怎样治疗,慢性肠炎应该怎样治疗,慢性肠炎该怎样治疗,怎样治疗慢性肠炎？,"怎样治疗慢性肠炎？	宣城治疗肠炎医院",
3164,皮肤科,白癜风,医院检查有没有白癜风多少钱,白癜风初期主要在身体表面特定部位显示米粒甚至指甲大小的白色斑块，颜色较浅，多为淡白色，进行期四周不清楚，有些在白色斑块四周有介于白色斑块与健康皮肤的白斑向正常皮肤发展晕环，白色斑块表面光滑，无皮屑，建议及时到白癜风专科医院接受诊疗，以免延误病情造成不必要影响。白癜风患者要调整好心态，精神焦虑、紧张、不愉快的生活事件等均可激发本病，所以建议患者平时要做适量的运动，减少精神压力，缓解紧张的情绪，保持乐观，积极，轻松的心态。这样对缓解病情是很有好处的。,,,,,,,
3165,外科,前列腺,治前列腺炎要治多久能好,年轻男性的话，前列腺炎的产生，主要考虑与手淫过度有关系。。及时戒除手淫适当节欲，清淡饮食注意休息。避免劳累戒烟戒酒，适当参加体育锻炼。同时可以结合治疗前列腺炎的药物。,前列腺炎能根治吗？一般要治多久,请问前列腺炎好治不，多久能治愈,前列腺炎好治吗要多久能治好,慢性前列腺炎要治多久才会痊愈,前列腺炎要治多久才会好,前列腺炎要治多少时间才好,
3166,妇产科,女性不孕,输卵管堵塞的治法,您好，输卵管堵塞原因常见的有原发性和继发性两种，1、继发性输卵管堵塞，即是后天性的因素所造成的堵塞非常常见，是因一些疾病因素及人为因素造成的，也是引起输卵管堵塞的最主要的因素。继发性的原因分有机械性和病理性。2、原发性输卵管堵塞，即先天性的，出生时就有的，这种堵塞极为少见;其次，有一些致病菌如葡萄球菌、链球菌或淋病球双菌经阴道、子宫颈及子宫蔓延到输卵管或盆腔，引起盆腔腹膜炎及全身严重的感染。国内亦有滴虫引起炎症的报道。人工流产后引起急性盆腔炎、输卵管炎也是屡见不鲜的。子宫内膜异位在输卵管会引起输卵管的阻塞，总之，这些都是属于病理性的原因。您好，治疗不孕不育的方法有很多，根据个人不同的身体状况和不同的病情，会有不同的治疗方案。盲目的进行治疗不仅不能治好，甚至还会加重病情的蔓延。建议您到正规专业的不孕不育专科医院详细检查，明确具体病因，对症治疗，不要错过治疗的最佳时间。祝您健康！,双边输卵管堵塞,输卵管堵塞,做输卵管堵塞,输卵管堵塞查询,右边输卵管堵塞,输卵管堵塞检查,
3167,精神科,失眠抑郁,治疗忧郁症的方法是什么,你好这种情况是一种脑内疾病，首先要主动就医接受药物治疗，与此同时，可以通过对本人情绪进行认知自救。首先定位自己，进行近期和远期人生规划，做有意义的事。保持对学习的兴趣，学会适应。结交知心朋友，建立良好的人际关系，通过倾诉获得安慰、帮助和支持,忧郁症的治疗方法是什么？,忧郁症的治疗方法是什么,忧郁症的最好治疗方法是什么？,忧郁症的治疗,忧郁症最佳治疗方法。,忧郁症的治疗方法,
3168,内科,肝胆疾病,肝纤维化治疗办法,你好肝纤维化是多种原因引起的慢性肝损害所致的病理改变，表现为肝内细胞外间质成分过度异常地沉积，并影响肝脏的功能，是慢性肝病发展到肝硬化必经之阶段。。避免过度劳累，保持充足的睡眠。劳累会破坏机体免疫平衡，加重肝脏的负担，容易引致慢性肝炎的复发，慢性肝炎患者更要特别注意休息。建议去正规医院检查确定病情及时治疗,治疗肝纤维化,肝纤维化怎样治疗,肝纤维化治疗医院,肝纤维化的治疗,肝纤维化的治疗策略,肝纤维化能治疗吗,
3169,性病科,性病综合,出现HPV如何治最好,您好，根据您提供的病史，考虑为人乳头瘤病毒感染，建议应用干扰素治疗。。,为什么会患上hpv病毒感染？如何治疗最好,慢性宫颈炎伴感染hpv如何治疗最好,hpv阳性如何治疗,肝硬化出现腹水如何治疗最好,HPV阳性如何治疗,HPV阳性如何治疗,
3170,内科,中风,治疗中风怎么办,你好，根据你的叙述的这种情况，可以考虑采用中医的方法来治疗，效果可能会比较好。如果及时就诊，积极治疗，一般都有可能治疗好的。。建议尽快到当地中医院就诊。可以考虑根据中风的类型针对性中药调理，同时结合针灸，按摩，理疗等方法来治疗。建议要找技术较好的针灸大夫，避免因为手法不熟练造成的问题。要积极治疗，持之以恒。祝康复。,轻度中风怎么办？可以治疗好吗？,中风去那治疗好,中风怎么办,脚中风怎么办,房颤导致中风，怎么办,中风怎么办,
3171,妇产科,妇科综合,白带增多要怎样,你好，根据您的描述，考虑白带增多，有阴道炎症。你好，这种情况，建议您首先做个阴道分泌物检查看看，查找致病菌，对症治疗,白带增多要怎么才好,怎样治疗白带增多,白带常规要怎样做啊,白带增多，有异味要怎么办,宫颈糜烂要怎么治，白带增多,我的白带增多要怎么办？,
3172,外科,男科,隐睾治疗有什么好的办法,患者出现单侧隐睾，目前不能确定性腺是否发育正常。请排除先天性的性腺发育不良，目前无需进行治疗，随着年龄增长，隐睾会自行消失。如果年龄增长后，隐睾现象仍未消除，可以进行手术治疗,怎样治疗隐睾？,隐睾需要治疗么,隐睾有什么危险,治疗小儿隐睾哪里好,隐睾都有什么症状,隐睾,
3173,皮肤科,白癜风,女性白癜风要怎么去预防,正确的预防白癜风还要重视皮肤的外部保护。尤其是要重视皮肤的防晒，使用专业的防晒产品，减少不利因素的伤害。对于经常处于外界工作环境中的人，预防白癜风是很关键的，避免皮肤受到不利的伤害。正确预防白癜风，还要注意远离污染严重的环境，像油漆厂、橡胶厂的工人，要注意做好自身的劳动保护，才能够避免受伤。预防白癜风还要注意释放过大的压力。对于经常有过大压力的人，要注意及时的释放压力，避免长期不良的情绪在身体内沉积，会影响人的身体健康，还容易导致白癜风的发病。因此，要注意做好劳逸结合，避免不良情绪的出现。但是，一旦发现白癜风发病，正确的治疗是关键。,白癜风要怎么去预防？,女性白癜风怎么预防复发,,,,,
3174,内科,胃肠疾病,胃出血会血小板减少吗,"你好,你的情况我建议服用以红豆杉为主要成分的中草药 “真情 散”进行治疗,“真情 散”可以弥补手术治疗,放射治疗,化学治疗的不足,既能巩固放疗,化疗的效果,又能消除放化疗的毒副作用,更重要的是可以切断癌细胞的复制功能,也就是切断癌细胞重要的分裂方式——微管蛋白合成,使细胞体积逐渐缩小,在血管内形成稳定的抗癌细胞,从而提高人体的代谢功能,即：通过抑制癌细胞的呼吸,使癌细胞缺血,缺氧,不再裂变,从而达到治愈癌症的目的.",怎样会导致胃出血？,血小板减少会导致？,血小板减少会遗传吗,血小板减少会遗传吗？,血小板减少会怎样,血小板减少会遗传吗,
3175,妇产科,人流,刚怀孕怎么打胎,"病情分析：您好,一般从最后一次月经第一天开始算,停经49天内能做药物流产 ,停经70天内能做人工流产,具体的需要检查看孕囊的大小定.指导意见：您可以上医院做个B超等检查看看孕囊的大小,在帮您选择合适的方式就行,刚怀孕的话 ,一般是药物流产和人工流产可以的,去正规的医院检查手术都是可以保证安全的,祝您健康.",刚怀孕打胎最好怎么打,刚怀孕没几天，怎么打胎,刚怀孕怎么打胎？,刚怀孕一周怎么打胎？,刚怀孕想吃打胎药打胎,怀孕刚2周，应该怎么打胎,
3176,内科,肿瘤科,老年肺癌晚期病人如何办?,"病情分析：不能吃牛奶鱼虾的.肺癌晚期时病情比较严重,需要及时对症治疗.指导意见：可以手术治疗加上放疗治疗.尽管手术可将肺部的病灶去除,但由于肺癌晚期患者的体质差,免疫力低下,手术常常会使他们的元气大伤,生活质量急剧下降.如不配合进行全身治疗,往往好景不长,导致肿瘤复发或转移,对于小细胞肺癌尤其如此.生活护理：一,饮食丰富多样,清淡,富有营养,以肉粥,鱼粥,蛋粥,苡米粥,百合粥,枸杞等各种粥类,汤类为主,配合水果,新鲜蔬菜.二,帮助生活不能自现的患者定期翻身,每天擦洗,按摩手足.可用红花酒精涂摩受压部位,防止褥疮发生.三,对于疼痛患者应尽量满足他们的止痛要求,不要害怕麻醉止痛剂的成瘾性,以提高其生活质量.四,可适当听听轻音乐,民乐,以及贝多芬命运交响曲等,使身心放松,改善其生活质量.五,多给患者用精神安慰,消除他们对死亡的恐惧感,要鼓励和训练患者的配偶和亲属,给患者以抚爱,拥抱,轻言细语, 多拉家常,表达对患者的挚爱和眷念,满足他们心理上对亲情的渴望,忘记对死亡的恐惧,从而获得精神上的欢愉.六,密切观察患者的呼吸,血压,脉搏,体温,神志的变化.如有异常,马上报告医师,对症处理.七,对于可以轻微活动的患者,可陪他们慢走,散步,活动筋骨,以不过度为要.",您好，老年肺癌晚期用什么箹好,老年肺癌病人山龟能吃吗,老年肺癌晚期患者可以吃虫草、乌龟、鸽子...,80岁老年肺癌病人适合化疗吗？副作用有多...,老年肺癌病人化疗两个疗程后吃什么药？,请问医生，介入疗法可以治老年肺癌吗？效果如何？？请...,
3177,皮肤科,痤疮,脸上长痘痘,"你好!根据痘痘发生的原因,要保持面部的清洁,干净,勤用温水洗脸,有助于清除过多的皮脂.不宜用碱性大的肥皂洗脸,因其可破坏弱酸性的正常环境,易引起青春痘病的发生.洗脸后也不易用低劣的化妆品及油性较强的化妆品,以免毛孔阻塞使病情加重.饮食方面应注意,少食辛辣,甜食,煎炸油腻及刺激性食物,如烟,酒,咖啡,浓茶等.多食新鲜蔬菜,水果,杂粮等高维生素,高纤维食品,因为过食糖和淀粉类食物可使皮脂腺分泌量增加;过食辛辣刺激性食物易使毛囊周围血管扩张,引起症状加重.应多吃含维生素A与维生素B的食物,因为含维生素A的食物能促进上皮细胞再生,并能防止毛囊过度角化,而使皮脂排出通畅,以减少粉刺的发生;含维生素B族的食物,参于糖和脂肪代谢,从而起到调节皮脂腺分泌的作用;还要精神愉快,劳逸结合,不焦不躁,不紧张,并要注意睡眠时间,精神紧张时皮脂产生增多,游离脂肪酸也增加.痘痘相对增多.你可到专业的痤疮科采用高效祛痘中药颗粒冲剂内部调理+外用粉刺霜",脸上长痘痘,脸上长痘痘。,脸上长痘痘,长痘痘脸上,脸上长痘痘,脸上长痘痘，,
3178,内科,糖尿病,怎样治疗二型糖尿病效果最好,你好，鉴于你所说的情况，对于二型糖尿病需要注意饮食避免油腻及甜食。一般是建议服用二甲双胍，注意定期的检测血糖明确情况,二型糖尿病用哪种药治疗效果最好,怎样治疗二型糖尿病最好,治疗二型糖尿病吃什么药最好,二型糖尿病用什么药治疗最好,怎样有效治疗二型糖尿病，,我有糖尿病怎样治疗我是二型糖尿病,
3179,妇产科,人流,堕胎哪里最便宜,"病情分析：  各地的治疗费用是不一样的,建议咨询当地医院.   指导意见：  各地的治疗费用是不一样的,建议咨询当地医院.",敦化哪里买堕胎药,广州检查孕6项哪里最便宜,哪里有卖堕胎？可否告知？,哪里角膜塑形镜最便宜,针灸减肥哪里最便宜..,植牙线西安哪里最便宜急急急,
3180,外科,阳痿,阳痿用什么药好,"病情分析：你说的要是中成药,再说阳痿考中成药调理,也是需要时间的,它的效果很慢,是有效果的指导意见：建议口服金匮肾气丸和维生素E.平时加强营养,多食用蔬菜和水果.注意预防手淫过频或者避免放纵,性生活应有节制,一旦有性功能障碍,应正确对待,心情开放,生活节律,对治疗要有信心,食疗可以对症口服牛鞭汤或者赤豆五味方即可",阳痿用什么药，用什么药好,阳痿，用什么药好，用什么西药好,阳痿早泄用什么药好,阳痿用什么药效果好,你好。医生，治疗阳痿用什么药好,医生 怎么早泄阳痿 用什么中药好？,
3181,妇产科,人流,医院打胎多少钱,"病情分析：医院打胎一般大几百,不过要看什么医院了指导意见：如果怀孕一般在妊娠49天内可以选择药物流产.但药物流产副作用较大,容易导致流产不全,需要清宫处理,对子宫损害较大.建议选择超导可视无痛人流术,对子宫内膜伤害最小.",江阴打胎医院，打胎要带多少钱？,医院打胎需要多少钱？,去医院打胎一般多少钱？,医院打胎大概多少钱,登封中医院打胎多少钱,打胎要多少钱那个医院最好,
3182,妇产科,人流,吃打胎药安全吗,"病情分析：一般在妊娠49天内可以选择药物流产.但药物流产副作用较大,容易导致流产不全,还需要清宫处理,对子宫损害较大.建议您选择无痛人流比较安全.指导意见：从末次月经第一天开始计算一般怀孕40-70天,建议选择超导可视无痛人流术,此手术在B超监视下进行,施术准确,对子宫内膜损伤小,有效避免子宫穿孔,吸宫不全,漏吸等并发症的发生,术后恢复快,由于使用了新型麻醉药,病人在睡梦中轻松完成手术,数分钟内手术完成,病人恢复意识.术后30分钟病人即能自行离院.",吃打胎药安全吗？会流多久血？,吃打胎药安全吗？流得干净吗？,怀孕初期吃打胎药安全吗,怀孕吃打胎药行么安全么,请问吃打胎药安全吗？,怀孕吃打胎药安全麻,
3183,妇产科,人流,打胎的最佳时期,"您好,首先看你看选择什么样的流产方式,一般人流的话建议是在50-60天左右最佳时间,药流的最佳时间在怀孕后的49天以内,但我建议你最好不要采用药流,虽然说现在的时间可以进行药流,但是药流成功率很低的,如果流不干净你最后就得清宫,花钱事小,很痛苦的,而且又伤身体.万一影响以后生育怎么办,建议您先到正规的医院进行检查后再确定!",怀孕多久是打胎的最佳时期呢,多久是打胎的最佳时期,什么时候打胎最佳？,怀孕5周+4天，最佳打胎时期是,何时打胎是最佳时期,意外怀孕，怎么办？打胎的最佳时期是...,
3184,外科,骨科,胫骨骨折多长时间可以康复？,"病情分析：骨折恢复期间注意不要吃辛辣和刺激性的食物,其它正常饮食即可,加强营养对骨折的愈合有一定的帮助,但不起决定性作用.指导意见：治疗方面建议你配合服用专业的接骨续筋,消肿止痛,舒筋活络,活血化瘀药物治疗,可以帮助骨折促进骨细胞生长,帮助骨痂(骨头)快速形成,提前愈合恢复的快些.5生活护理：天从症状上明显感觉患肢有力量,30天拍片就可以明显看到骨痂形成,这时就可以负重活动,在保养10天就可以治愈,以X光片为依据.",胫骨骨折多长时间能康复,小腿胫骨骨折后多长时间能够康复,我左侧胫骨骨折多长时间彻底康复？,小腿胫骨骨折，问一下您多长时间能康复呢？,小腿胫骨骨折石膏多长时间可以拆,左胫骨骨折石膏拆后多长时间可以下地,
3185,内科,甲状腺疾病,甲状腺肿大的治疗费用大约多少,"你好，具体费用很难确定的,这个应该根据医院的等级和所处的城市而言，费用有所不同.先去有能够治疗资质的医院咨询一下.frrt",甲状腺肿大切除手术治疗费用是多,治好甲状腺肿大要多少钱,甲状腺肿大治疗要多少钱，能不能治好？,甲状腺肿大切除手术需要多少钱啊,甲状腺肿大手术需要多少钱？,甲状腺肿大，如果做手术，需要大约多少钱？谢谢,
3186,妇产科,妇科炎症,治疗盆腔炎注意事项,盆腔炎是指女性内生殖器及其周围结缔组织、盆腔腹膜的慢性炎症。其主要临床表现为月经紊乱、白带增多、腰腹疼痛等，如已形成慢性附件炎，则可触及肿块。如不及时治疗，会引起盆腔积液、输卵管粘连、输卵管堵塞、导致不孕.建议您到医院配合物理治疗是完全可以治愈的。。盆腔炎注意事项.1、杜绝各种感染途径，保持会阴部清洁、干燥，每晚用清水清洗外阴，做到专人专盆，切不可用手掏洗阴道内，也不可用热水、肥皂等洗外阴。盆腔炎时白带量多，质粘稠，所以要勤换内裤，不穿紧身、化纤质地内裤。2、发热患者在退热时一般汗出较多，要注意保暖，保持身体的干燥，汗出后给予更换衣裤，避免吹空调或直吹对流风。3、要注意观察白带的量、质、色、味。白带量多、色黄质稠、有臭秽味者，说明病情较重，如白带由黄转白（或浅黄），量由多变少，味趋于正常（微酸味）说明病情有所好转。,盆腔炎的饮食和治疗及注意事项,患了盆腔炎治疗时应该注意哪些事项？,盆腔炎治疗过程中要注意哪些事项,治疗盆腔炎和阴道炎…有那些注意事项,慢性盆腔炎治疗前的注意事项哪些？,盆腔炎注意事项,
3187,内科,头痛,头痛咋治比较好,",建议你可以用中药热敷的方法来进行治疗,主要采取散寒除湿,活血化瘀的药物熬好敷在患处,也可以用大盐热敷疗法也比较好,就是把大盐,麸子或砂子炒热,用布包起来,敷在疼痛最厉害的地方,每天两次.使患部消除和缓解局部不适.并且以活血化瘀,散寒祛湿的药物改善新陈代谢,达到治疗目的.",耳鸣、头痛咋治,布洛芬和芬必得哪个治头痛比较好,酒后头痛怎么治，吃什么比较好,19岁男耳鸣头痛鼻炎咋治,儿子脑血管痉孪头痛咋治,过渡手淫导致头昏，头痛咋治,
3188,妇产科,女性不孕,治输卵管造影大约要多少钱,您好，再月经干净3-7天内到正规专业的快孕医院进行检查，疼痛程度和输卵管通畅情况有关，输卵管越通畅，不适感越小，不同的医院价格会有差别，建议您进一步治疗。。您好，治疗不孕不育的方法有很多，根据个人不同的身体状况和不同的病情，会有不同的治疗方案。盲目的进行治疗不仅不能治好，甚至还会加重病情的蔓延。建议您到正规专业的科技型不孕不育医院详细检查，明确具体病因，对症治疗，不要错过治疗的最佳时间。,能根治吗，大约需要多少钱,治白内障大约要多少钱,疱疹好治吗？大约需要多少钱,脸上红血丝治大约要多少钱,您好！治少年白大约需要多少钱？,外阴白斑哪里治得好大约要多少钱,
3189,内科,肝腹水,患上了肝腹水该怎样治疗,有肝腹水需要积极治疗。具体能活多久是不能一概而论的。如果积极治疗，选择适合自己治疗的最新技术，部分患者是可以康复的。。如果任由病情发展，不合理饮食，不戒烟戒酒，肝腹水会转为肝癌，影响到生命,肝腹水早期治疗,治疗肝腹水,肝腹水应该怎样去治疗？,肝腹水的治疗,治疗肝腹水偏方,肝腹水能治疗好吗,
3190,内科,肿瘤科,治食道癌治疗专家,食道癌到达晚期肿瘤会转移，手术治疗的疗效已不高，5年存活率在30%以下。故综合治疗是食道癌晚期病人主要的治疗手段，对食道癌晚期病人有相当重要的延长生命的作用，从一定程度上是可以让患者减轻痛苦的，患者朋友们到了晚期还是要积极投入治疗当中。选择无副作用，危害小的治疗方法是晚期食道癌治疗的关键，因为晚期食道癌发展迅速。治愈具体要怎样治疗，具体疗法的确定要让专家分析病情后确定，建议试试中医中药的治疗方式，祝您能够早日康复。,上海治疗食道癌的专家,各位专家医生大家好，食道癌怎么治，手术治疗后，会彻...,食道癌可以治疗吗,"食道癌,可以治疗好吗?",食道癌治疗,,
3191,外科,前列腺,前列腺炎去哪家治最好,治疗前列腺炎花费的费用其实并没有一个准数，要根据每个患者的具体病情和个人身体素质，以及选择的治疗方式方法来决定。每个医院治疗前列腺炎的收费标准都有所不同。治疗前列腺炎建议及早去专业正规的公立医院进行科学检查，专业治疗有安全保障。切忌自行用药和听从偏方，以免延误病情，错过最佳治疗时机，给后期治疗带来了严重的困难。祝早日恢复健康!,去哪家医院治前列腺炎最好，老公尿急最近,哪家医院治前列腺炎最好，在重那好,哪家公立医院治前列腺炎最好？,黄山哪家治前列腺炎手术最好？,宁国哪家医院治前列腺炎最好？前列腺炎难治吗？,金华治前列腺炎哪家最好，金华同济好不好？,
3192,内科,肿瘤科,患了宫颈癌后该怎么办好,宫颈癌的基本治疗方案。。　　治疗方案的制订与病人的年龄、一般情况、病灶的范围、有无合并症状存在及其性质有关。因此治疗前必须对病人时行全身检查，并结合各脏器及系统功能检查结果以及临床分期综合考虑后制订治疗方案。。。　　宫颈癌的治疗主要是手术及放射治疗。,患了宫颈癌该怎么办？,请问，患了宫颈癌的，该怎么诊治？,患了宫颈癌该怎么办，中后期能治疗吗？,患了宫颈癌后还能生育吗,患了宫颈癌，该怎么办啊？,患了宫颈癌因应该怎么办？,
3193,妇产科,人流,吃什么对无痛人流好,。你好:每种流方式对身体都有一定的影响，目前有超导可视无痛人流，具有安全、无痛、出血少等特点，在B超监测下手术，对子宫伤害相对较小。根据你的情况，如果决定终止妊娠，建议你应及时到医院做相关检查，遵医嘱选择适合你的方式终止妊娠，把对身体的伤害做到最小。。。。您是否对我的回答满意？如果您还有什么问题再追问我，祝你身体健康,第二选择无痛人流好吗？对伤害大,做无痛人流好不好？上回做的药流..对以后？做无痛人流...,怎样做无痛人流好,无痛人流好还是可视无痛人流好？,通化哪家医院做无痛人流好，听说东风小学对？,无痛人流好不好，有什么伤害，后续...,
3194,内科,肿瘤科,得了乳腺癌什么症状,"。乳癌症状有：乳腺肿块,乳腺疼痛,乳头溢液,糜烂或皮肤凹陷,腋窝淋巴结肿大等.。。是否存在乳腺癌,这个是需检查来确诊下的,晚期可以化疗治疗",得了乳腺癌有什么症状,怎样防止乳腺癌，得了乳腺癌有什么症状。,肿瘤，乳腺癌什么症状,您好！乳腺癌什么症状？,乳腺癌是什么症状,乳腺癌是什么症状,
